permno,ticker,permco,cusip,company,price_x,sheet_row,is_duplicate_row,weight_target,price_y,target_value,shares,value,weight_actual,weight
13928,COP,21401,20825C10,CONOCOPHILLIPS,93.61,125,False,0.0010947777750095,93.61,9610.509234032188,102,9548.22,0.0009548219999999999,0.0009548219999999999
81540,COR,13650,03073E10,CENCORA INC,337.75,126,False,0.0015647173609408,337.75,13735.8749777703,40,13510.0,0.001351,0.001351
87055,COST,7882,22160K10,COSTCO WHOLESALE CORP NEW,862.34,127,False,0.00282969903594,862.34,24840.519542148508,28,24145.52,0.002414552,0.002414552
12449,CPAY,53610,21994810,CORPAY INC,300.93,128,False,0.0023126215959745,300.93,20301.354037573816,67,20162.31,0.0020162310000000003,0.0020162310000000003
25320,CPB,20384,13442910,CAMPBELLS CO,27.87,129,False,0.0013531263296387,27.87,11878.42261932287,426,11872.62,0.0011872620000000001,0.0011872620000000001
80320,CPRT,12926,21720410,COPART INC,39.15,130,False,0.0031687756883331,39.15,27817.104720670544,710,27796.5,0.00277965,0.00277965
79452,CPT,29911,13313110,CAMDEN PROPERTY TRUST,110.08,131,False,0.0028624030911773,110.08,25127.61216680984,228,25098.239999999998,0.002509824,0.002509824
24294,CRH,10241,G2550810,C R H PLC NEW,124.8,132,False,,,,0,0.0,,0.0
88281,CRL,37660,15986410,CHARLES RIVER LABS INTL INC,199.48,133,False,0.0012197690161267,199.48,10707.745133728426,53,10572.439999999999,0.001057244,0.001057244
90215,CRM,45288,79466L30,SALESFORCE INC,264.91,134,False,0.0016813134544781,264.91,14759.414054988574,55,14570.050000000001,0.0014570050000000001,0.0014570050000000001
18726,CRWD,56769,22788C10,CROWDSTRIKE HOLDINGS INC,468.76,135,False,0.0008765479429459,468.76,7694.778147720792,16,7500.16,0.0007500159999999999,0.0007500159999999999
76076,CSCO,10486,17275R10,CISCO SYSTEMS INC,77.03,136,False,0.0039668500011048,77.03,34823.00192411876,452,34817.56,0.003481756,0.003481756
86288,CSGP,16188,22160N10,COSTAR GROUP INC,67.24,137,False,0.0014931670443962,67.24,13107.77035823339,194,13044.56,0.0013044559999999998,0.0013044559999999998
62148,CSX,20370,12640810,C S X CORP,36.25,138,False,0.0036794873562038,36.25,32300.38828016439,891,32298.75,0.003229875,0.003229875
23660,CTAS,6304,17290810,CINTAS CORP,188.07,139,False,0.0030126770750561,188.07,26446.79268240761,140,26329.8,0.00263298,0.00263298
76082,CTRA,26024,12709710,COTERRA ENERGY INC,26.32,140,False,0.0011838197468413,26.32,10392.164390028136,394,10370.08,0.001037008,0.001037008
86158,CTSH,16167,19244610,COGNIZANT TECHNOLOGY SOLS CORP,83.0,141,False,0.0033628628996968,83.0,29520.899755240192,355,29465.0,0.0029465,0.0029465
18592,CTVA,56723,22052L10,CORTEVA INC,67.03,142,False,0.0015594727279625,67.03,13689.83495502082,204,13674.12,0.0013674120000000001,0.0013674120000000001
16655,CVNA,55904,14686910,CARVANA CO,422.02,143,False,0.000186033399742,422.02,1633.094630591471,3,1266.06,0.000126606,0.000126606
